Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2002M10,"Oct. 2002",IN0001.07,"Minerals, ores and metals",35.2,,,6.79612,,,0,,
2002M10,"Oct. 2002",IN0001.08,"Minerals, ores and non-precious metals",43.61,,,2.53938,,,0.5302,,
2002M10,"Oct. 2002",IN0001.09,"Precious metals",28.55,,,12.44584,,,-0.62652,,
2002M10,"Oct. 2002",IN0001.10,"Fuels",59.87,,,32.92629,,,1.69866,,
2002M10,"Oct. 2002",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2002M10,"Oct. 2002",IN0001.05,"Tropical beverages and food",56.01,,,7.33998,,,2.00328,,
2002M10,"Oct. 2002",IN0001.22,"All groups excl. fuels",46.26,,,11.28217,,,0.12987,,
2002M10,"Oct. 2002",IN0001.23,"All groups excl. precious metals",58.18,,,25.98528,,,1.2883,,
2002M10,"Oct. 2002",IN0001.24,"All groups excl. precious metals and fuels",54.23,,,11.01331,,,0.31447,,
2002M11,"Nov. 2002",IN0001.20,"All groups",52.02,,,23.5923,,,-4.84727,,
2002M11,"Nov. 2002",IN0001.01,"All food",58.74,,,12.16345,,,2.5847,,
2002M11,"Nov. 2002",IN0001.02,"Food",59.17,,,-0.77142,,,0.74919,,
2002M11,"Nov. 2002",IN0001.03,"Tropical beverages",47.24,,,25.70516,,,-0.88124,,
2002M11,"Nov. 2002",IN0001.04,"Vegetable oilseeds and oils",64.54,,,34.0673,,,7.28059,,
2002M11,"Nov. 2002",IN0001.06,"Agricultural raw materials",70.84,,,18.97884,,,0.81116,,
2002M11,"Nov. 2002",IN0001.07,"Minerals, ores and metals",35.95,,,8.74168,,,2.13068,,
2002M11,"Nov. 2002",IN0001.08,"Minerals, ores and non-precious metals",44.97,,,3.11855,,,3.11855,,
2002M11,"Nov. 2002",IN0001.09,"Precious metals",28.83,,,16.62621,,,0.98074,,
2002M11,"Nov. 2002",IN0001.10,"Fuels",54.96,,,31.01311,,,-8.2011,,
2002M11,"Nov. 2002",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2002M11,"Nov. 2002",IN0001.05,"Tropical beverages and food",56.23,,,3.74539,,,0.39279,,
2002M11,"Nov. 2002",IN0001.22,"All groups excl. fuels",47.24,,,11.59934,,,2.11846,,
2002M11,"Nov. 2002",IN0001.23,"All groups excl. precious metals",55.13,,,24.08283,,,-5.24235,,
2002M11,"Nov. 2002",IN0001.24,"All groups excl. precious metals and fuels",55.54,,,10.50537,,,2.41564,,
2002M12,"Dec. 2002",IN0001.20,"All groups",56.86,,,35.02731,,,9.30411,,
2002M12,"Dec. 2002",IN0001.01,"All food",58.86,,,11.6888,,,0.20429,,
2002M12,"Dec. 2002",IN0001.02,"Food",59.11,,,-0.7222,,,-0.1014,,
2002M12,"Dec. 2002",IN0001.03,"Tropical beverages",47.03,,,24.41799,,,-0.44454,,
2002M12,"Dec. 2002",IN0001.04,"Vegetable oilseeds and oils",65.15,,,32.20373,,,0.94515,,
2002M12,"Dec. 2002",IN0001.06,"Agricultural raw materials",71.56,,,21.32926,,,1.01637,,
2002M12,"Dec. 2002",IN0001.07,"Minerals, ores and metals",36.57,,,9.55662,,,1.72462,,
2002M12,"Dec. 2002",IN0001.08,"Minerals, ores and non-precious metals",45.03,,,2.22474,,,0.13342,,
2002M12,"Dec. 2002",IN0001.09,"Precious metals",29.89,,,19.84763,,,3.67673,,
2002M12,"Dec. 2002",IN0001.10,"Fuels",62.51,,,49.47394,,,13.73726,,
2002M12,"Dec. 2002",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2002M12,"Dec. 2002",IN0001.05,"Tropical beverages and food",56.13,,,3.59911,,,-0.17784,,
2002M12,"Dec. 2002",IN0001.22,"All groups excl. fuels",47.7,,,12.05074,,,0.97375,,
2002M12,"Dec. 2002",IN0001.23,"All groups excl. precious metals",60.48,,,36.18554,,,9.70434,,
2002M12,"Dec. 2002",IN0001.24,"All groups excl. precious metals and fuels",55.72,,,10.33663,,,0.32409,,
2003M01,"Jan. 2003",IN0001.20,"All groups",61.32,,,44.79339,,,7.84383,,
2003M01,"Jan. 2003",IN0001.01,"All food",60.04,,,12.51874,,,2.00476,,
2003M01,"Jan. 2003",IN0001.02,"Food",60.79,,,0.56245,,,2.84216,,
2003M01,"Jan. 2003",IN0001.03,"Tropical beverages",49.43,,,27.99068,,,5.10313,,
2003M01,"Jan. 2003",IN0001.04,"Vegetable oilseeds and oils",64.76,,,31.09312,,,-0.59862,,
2003M01,"Jan. 2003",IN0001.06,"Agricultural raw materials",71.29,,,19.73463,,,-0.37731,,
2003M01,"Jan. 2003",IN0001.07,"Minerals, ores and metals",38.57,,,13.2081,,,5.46896,,
2003M01,"Jan. 2003",IN0001.08,"Minerals, ores and non-precious metals",46.86,,,4.29557,,,4.06396,,
2003M01,"Jan. 2003",IN0001.09,"Precious metals",32.02,,,25.66719,,,7.12613,,
2003M01,"Jan. 2003",IN0001.10,"Fuels",68.81,,,64.61722,,,10.07839,,
2003M01,"Jan. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M01,"Jan. 2003",IN0001.05,"Tropical beverages and food",57.99,,,5.30234,,,3.31374,,
2003M01,"Jan. 2003",IN0001.22,"All groups excl. fuels",49.19,,,13.78672,,,3.12369,,
2003M01,"Jan. 2003",IN0001.23,"All groups excl. precious metals",65.26,,,46.29007,,,7.90344,,
2003M01,"Jan. 2003",IN0001.24,"All groups excl. precious metals and fuels",56.92,,,11.10677,,,2.15363,,
2003M02,"Feb. 2003",IN0001.20,"All groups",68.1,,,58.15142,,,11.05675,,
2003M02,"Feb. 2003",IN0001.01,"All food",60.59,,,16.02834,,,0.91606,,
2003M02,"Feb. 2003",IN0001.02,"Food",62.26,,,6.75583,,,2.41816,,
2003M02,"Feb. 2003",IN0001.03,"Tropical beverages",49.55,,,22.64851,,,0.24277,,
2003M02,"Feb. 2003",IN0001.04,"Vegetable oilseeds and oils",63.96,,,32.36755,,,-1.23533,,
2003M02,"Feb. 2003",IN0001.06,"Agricultural raw materials",72.22,,,19.74797,,,1.30453,,
2003M02,"Feb. 2003",IN0001.07,"Minerals, ores and metals",39.19,,,12.64731,,,1.60747,,
2003M02,"Feb. 2003",IN0001.08,"Minerals, ores and non-precious metals",47.89,,,5.81087,,,2.19804,,
2003M02,"Feb. 2003",IN0001.09,"Precious metals",32.31,,,21.87854,,,0.90568,,
2003M02,"Feb. 2003",IN0001.10,"Fuels",79.37,,,84.96854,,,15.34661,,
2003M02,"Feb. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M02,"Feb. 2003",IN0001.05,"Tropical beverages and food",59.13,,,9.70315,,,1.96586,,
2003M02,"Feb. 2003",IN0001.22,"All groups excl. fuels",49.82,,,15.03117,,,1.28075,,
2003M02,"Feb. 2003",IN0001.23,"All groups excl. precious metals",72.9,,,60.96268,,,11.70702,,
2003M02,"Feb. 2003",IN0001.24,"All groups excl. precious metals and fuels",57.7,,,13.40409,,,1.37034,,
2003M03,"Mar. 2003",IN0001.20,"All groups",61.65,,,27.77202,,,-9.47137,,
2003M03,"Mar. 2003",IN0001.01,"All food",58.75,,,10.03933,,,-3.0368,,
2003M03,"Mar. 2003",IN0001.02,"Food",60.75,,,3.01848,,,-2.42531,,
2003M03,"Mar. 2003",IN0001.03,"Tropical beverages",45.53,,,3.28947,,,-8.11302,,
2003M03,"Mar. 2003",IN0001.04,"Vegetable oilseeds and oils",62.78,,,28.20094,,,-1.8449,,
2003M03,"Mar. 2003",IN0001.06,"Agricultural raw materials",72.54,,,14.79665,,,0.44309,,
2003M03,"Mar. 2003",IN0001.07,"Minerals, ores and metals",38.19,,,8.18697,,,-2.55167,,
2003M03,"Mar. 2003",IN0001.08,"Minerals, ores and non-precious metals",47.52,,,2.72374,,,-0.7726,,
2003M03,"Mar. 2003",IN0001.09,"Precious metals",30.82,,,15.73413,,,-4.61158,,
2003M03,"Mar. 2003",IN0001.10,"Fuels",69.67,,,37.41617,,,-12.22124,,
2003M03,"Mar. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M03,"Mar. 2003",IN0001.05,"Tropical beverages and food",57,,,3.07414,,,-3.60223,,
2003M03,"Mar. 2003",IN0001.22,"All groups excl. fuels",48.65,,,9.86902,,,-2.34845,,
2003M03,"Mar. 2003",IN0001.23,"All groups excl. precious metals",65.79,,,28.59656,,,-9.75309,,
2003M03,"Mar. 2003",IN0001.24,"All groups excl. precious metals and fuels",56.69,,,8.53915,,,-1.75043,,
2003M04,"Apr. 2003",IN0001.20,"All groups",56.08,,,10.87386,,,-9.03487,,
2003M04,"Apr. 2003",IN0001.01,"All food",59.66,,,12.26948,,,1.54894,,
2003M04,"Apr. 2003",IN0001.02,"Food",61.21,,,5.5891,,,0.7572,,
2003M04,"Apr. 2003",IN0001.03,"Tropical beverages",46.81,,,6.92097,,,2.81133,,
2003M04,"Apr. 2003",IN0001.04,"Vegetable oilseeds and oils",64.29,,,28.40024,,,2.40522,,
2003M04,"Apr. 2003",IN0001.06,"Agricultural raw materials",70.8,,,12.45235,,,-2.39868,,
2003M04,"Apr. 2003",IN0001.07,"Minerals, ores and metals",37,,,3.9034,,,-3.116,,
2003M04,"Apr. 2003",IN0001.08,"Minerals, ores and non-precious metals",46.29,,,0.76186,,,-2.58838,,
2003M04,"Apr. 2003",IN0001.09,"Precious metals",29.66,,,8.09038,,,-3.76379,,
2003M04,"Apr. 2003",IN0001.10,"Fuels",60.97,,,12.03602,,,-12.48744,,
2003M04,"Apr. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M04,"Apr. 2003",IN0001.05,"Tropical beverages and food",57.66,,,5.85643,,,1.15789,,
2003M04,"Apr. 2003",IN0001.22,"All groups excl. fuels",48.14,,,8.57014,,,-1.0483,,
2003M04,"Apr. 2003",IN0001.23,"All groups excl. precious metals",59.63,,,11.06351,,,-9.36313,,
2003M04,"Apr. 2003",IN0001.24,"All groups excl. precious metals and fuels",56.47,,,8.67975,,,-0.38808,,
2003M05,"May  2003",IN0001.20,"All groups",58.21,,,14.76735,,,3.79815,,
2003M05,"May  2003",IN0001.01,"All food",59.37,,,13.08571,,,-0.48609,,
2003M05,"May  2003",IN0001.02,"Food",60.57,,,6.8254,,,-1.04558,,
2003M05,"May  2003",IN0001.03,"Tropical beverages",46.37,,,12.52123,,,-0.93997,,
2003M05,"May  2003",IN0001.04,"Vegetable oilseeds and oils",64.69,,,25.31964,,,0.62218,,
2003M05,"May  2003",IN0001.06,"Agricultural raw materials",69.75,,,8.20664,,,-1.48305,,
2003M05,"May  2003",IN0001.07,"Minerals, ores and metals",38.7,,,7.82948,,,4.59459,,
2003M05,"May  2003",IN0001.08,"Minerals, ores and non-precious metals",47.22,,,3.96301,,,2.00907,,
2003M05,"May  2003",IN0001.09,"Precious metals",31.97,,,12.76896,,,7.78827,,
2003M05,"May  2003",IN0001.10,"Fuels",63.96,,,17.12141,,,4.90405,,
2003M05,"May  2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M05,"May  2003",IN0001.05,"Tropical beverages and food",57.07,,,7.9236,,,-1.02324,,
2003M05,"May  2003",IN0001.22,"All groups excl. fuels",48.89,,,10.06303,,,1.55796,,
2003M05,"May  2003",IN0001.23,"All groups excl. precious metals",61.74,,,14.90787,,,3.53849,,
2003M05,"May  2003",IN0001.24,"All groups excl. precious metals and fuels",56.5,,,9.36895,,,0.05313,,
2003M06,"June 2003",IN0001.20,"All groups",59.28,,,19.56434,,,1.83817,,
2003M06,"June 2003",IN0001.01,"All food",58.06,,,10.31731,,,-2.2065,,
2003M06,"June 2003",IN0001.02,"Food",59.88,,,7.89189,,,-1.13918,,
2003M06,"June 2003",IN0001.03,"Tropical beverages",43.16,,,5.55148,,,-6.92258,,
2003M06,"June 2003",IN0001.04,"Vegetable oilseeds and oils",63.36,,,16.6636,,,-2.05596,,
2003M06,"June 2003",IN0001.06,"Agricultural raw materials",69.65,,,1.44189,,,-0.14337,,
2003M06,"June 2003",IN0001.07,"Minerals, ores and metals",38.88,,,6.63741,,,0.46512,,
2003M06,"June 2003",IN0001.08,"Minerals, ores and non-precious metals",47.63,,,3.85957,,,0.86828,,
2003M06,"June 2003",IN0001.09,"Precious metals",31.96,,,10.0551,,,-0.03128,,
2003M06,"June 2003",IN0001.10,"Fuels",65.91,,,26.04705,,,3.04878,,
2003M06,"June 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M06,"June 2003",IN0001.05,"Tropical beverages and food",55.76,,,7.43738,,,-2.29543,,
2003M06,"June 2003",IN0001.22,"All groups excl. fuels",48.52,,,7.36889,,,-0.7568,,
2003M06,"June 2003",IN0001.23,"All groups excl. precious metals",62.95,,,20.2713,,,1.95983,,
2003M06,"June 2003",IN0001.24,"All groups excl. precious metals and fuels",55.97,,,6.67048,,,-0.93805,,
2003M07,"Jul. 2003",IN0001.20,"All groups",58.56,,,16.12136,,,-1.21457,,
2003M07,"Jul. 2003",IN0001.01,"All food",57.22,,,4.47325,,,-1.44678,,
2003M07,"Jul. 2003",IN0001.02,"Food",59.14,,,3.35547,,,-1.2358,,
2003M07,"Jul. 2003",IN0001.03,"Tropical beverages",44.18,,,4.66714,,,2.3633,,
2003M07,"Jul. 2003",IN0001.04,"Vegetable oilseeds and oils",61.32,,,6.366,,,-3.2197,,
2003M07,"Jul. 2003",IN0001.06,"Agricultural raw materials",70.06,,,-0.08557,,,0.58866,,
2003M07,"Jul. 2003",IN0001.07,"Minerals, ores and metals",39.13,,,9.73079,,,0.643,,
2003M07,"Jul. 2003",IN0001.08,"Minerals, ores and non-precious metals",48.42,,,7.76764,,,1.65862,,
2003M07,"Jul. 2003",IN0001.09,"Precious metals",31.79,,,12.2132,,,-0.53191,,
2003M07,"Jul. 2003",IN0001.10,"Fuels",64.82,,,21.4085,,,-1.65377,,
2003M07,"Jul. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M07,"Jul. 2003",IN0001.05,"Tropical beverages and food",55.45,,,3.58677,,,-0.55595,,
2003M07,"Jul. 2003",IN0001.22,"All groups excl. fuels",48.41,,,6.09248,,,-0.22671,,
2003M07,"Jul. 2003",IN0001.23,"All groups excl. precious metals",62.15,,,16.38577,,,-1.27085,,
2003M07,"Jul. 2003",IN0001.24,"All groups excl. precious metals and fuels",55.89,,,4.62374,,,-0.14293,,
2003M08,"Aug. 2003",IN0001.20,"All groups",59.86,,,16.8456,,,2.21995,,
2003M08,"Aug. 2003",IN0001.01,"All food",57.63,,,4.70567,,,0.71653,,
2003M08,"Aug. 2003",IN0001.02,"Food",59.42,,,5.33593,,,0.47345,,
2003M08,"Aug. 2003",IN0001.03,"Tropical beverages",45.19,,,7.18691,,,2.2861,,
2003M08,"Aug. 2003",IN0001.04,"Vegetable oilseeds and oils",61.58,,,2.66756,,,0.42401,,
2003M08,"Aug. 2003",IN0001.06,"Agricultural raw materials",72.04,,,2.54804,,,2.82615,,
2003M08,"Aug. 2003",IN0001.07,"Minerals, ores and metals",39.97,,,14.82333,,,2.14669,,
2003M08,"Aug. 2003",IN0001.08,"Minerals, ores and non-precious metals",49.32,,,13.53591,,,1.85874,,
2003M08,"Aug. 2003",IN0001.09,"Precious metals",32.58,,,16.35714,,,2.48506,,
2003M08,"Aug. 2003",IN0001.10,"Fuels",66.44,,,21.02004,,,2.49923,,
2003M08,"Aug. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M08,"Aug. 2003",IN0001.05,"Tropical beverages and food",55.91,,,5.68998,,,0.82958,,
2003M08,"Aug. 2003",IN0001.22,"All groups excl. fuels",49.21,,,8.70334,,,1.65255,,
2003M08,"Aug. 2003",IN0001.23,"All groups excl. precious metals",63.53,,,16.89052,,,2.22043,,
2003M08,"Aug. 2003",IN0001.24,"All groups excl. precious metals and fuels",56.69,,,6.8816,,,1.43138,,
2003M09,"Sep. 2003",IN0001.20,"All groups",57.28,,,5.99556,,,-4.31006,,
2003M09,"Sep. 2003",IN0001.01,"All food",58.4,,,3.05276,,,1.33611,,
2003M09,"Sep. 2003",IN0001.02,"Food",57.52,,,-0.48443,,,-3.19758,,
2003M09,"Sep. 2003",IN0001.03,"Tropical beverages",46.43,,,0.75955,,,2.74397,,
2003M09,"Sep. 2003",IN0001.04,"Vegetable oilseeds and oils",66.76,,,9.92919,,,8.41182,,
2003M09,"Sep. 2003",IN0001.06,"Agricultural raw materials",76.19,,,6.15856,,,5.76069,,
2003M09,"Sep. 2003",IN0001.07,"Minerals, ores and metals",40.94,,,16.30682,,,2.42682,,
2003M09,"Sep. 2003",IN0001.08,"Minerals, ores and non-precious metals",49.5,,,14.10788,,,0.36496,,
2003M09,"Sep. 2003",IN0001.09,"Precious metals",34.17,,,18.93491,,,4.88029,,
2003M09,"Sep. 2003",IN0001.10,"Fuels",61.51,,,4.48446,,,-7.42023,,
2003M09,"Sep. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M09,"Sep. 2003",IN0001.05,"Tropical beverages and food",54.79,,,-0.21854,,,-2.00322,,
2003M09,"Sep. 2003",IN0001.22,"All groups excl. fuels",50.42,,,9.1342,,,2.45885,,
2003M09,"Sep. 2003",IN0001.23,"All groups excl. precious metals",60.38,,,5.11838,,,-4.95829,,
2003M09,"Sep. 2003",IN0001.24,"All groups excl. precious metals and fuels",57.73,,,6.78875,,,1.83454,,
2003M10,"Oct. 2003",IN0001.20,"All groups",60.07,,,9.87745,,,4.87081,,
2003M10,"Oct. 2003",IN0001.01,"All food",61.34,,,7.12539,,,5.03425,,
2003M10,"Oct. 2003",IN0001.02,"Food",57.48,,,-2.12838,,,-0.06954,,
2003M10,"Oct. 2003",IN0001.03,"Tropical beverages",44.94,,,-5.70709,,,-3.20913,,
2003M10,"Oct. 2003",IN0001.04,"Vegetable oilseeds and oils",77.39,,,28.64029,,,15.92271,,
2003M10,"Oct. 2003",IN0001.06,"Agricultural raw materials",82.66,,,17.63199,,,8.49193,,
2003M10,"Oct. 2003",IN0001.07,"Minerals, ores and metals",41.76,,,18.63636,,,2.00293,,
2003M10,"Oct. 2003",IN0001.08,"Minerals, ores and non-precious metals",51.32,,,17.67943,,,3.67677,,
2003M10,"Oct. 2003",IN0001.09,"Precious metals",34.2,,,19.78984,,,0.0878,,
2003M10,"Oct. 2003",IN0001.10,"Fuels",64.72,,,8.10089,,,5.21866,,
2003M10,"Oct. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M10,"Oct. 2003",IN0001.05,"Tropical beverages and food",54.39,,,-2.89234,,,-0.73006,,
2003M10,"Oct. 2003",IN0001.22,"All groups excl. fuels",52.52,,,13.53221,,,4.16501,,
2003M10,"Oct. 2003",IN0001.23,"All groups excl. precious metals",63.54,,,9.21279,,,5.23352,,
2003M10,"Oct. 2003",IN0001.24,"All groups excl. precious metals and fuels",60.77,,,12.05975,,,5.26589,,
2003M11,"Nov. 2003",IN0001.20,"All groups",60.25,,,15.82084,,,0.29965,,
2003M11,"Nov. 2003",IN0001.01,"All food",63.27,,,7.71195,,,3.1464,,
2003M11,"Nov. 2003",IN0001.02,"Food",58.8,,,-0.62532,,,2.29645,,
2003M11,"Nov. 2003",IN0001.03,"Tropical beverages",44.84,,,-5.08044,,,-0.22252,,
2003M11,"Nov. 2003",IN0001.04,"Vegetable oilseeds and oils",81.54,,,26.34025,,,5.36245,,
2003M11,"Nov. 2003",IN0001.06,"Agricultural raw materials",83.07,,,17.26426,,,0.49601,,
2003M11,"Nov. 2003",IN0001.07,"Minerals, ores and metals",43.09,,,19.86092,,,3.18487,,
2003M11,"Nov. 2003",IN0001.08,"Minerals, ores and non-precious metals",53.04,,,17.9453,,,3.35152,,
2003M11,"Nov. 2003",IN0001.09,"Precious metals",35.23,,,22.1991,,,3.0117,,
2003M11,"Nov. 2003",IN0001.10,"Fuels",64.12,,,16.66667,,,-0.92707,,
2003M11,"Nov. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M11,"Nov. 2003",IN0001.05,"Tropical beverages and food",55.36,,,-1.54722,,,1.78342,,
2003M11,"Nov. 2003",IN0001.22,"All groups excl. fuels",53.97,,,14.2464,,,2.76085,,
2003M11,"Nov. 2003",IN0001.23,"All groups excl. precious metals",63.61,,,15.38182,,,0.11017,,
2003M11,"Nov. 2003",IN0001.24,"All groups excl. precious metals and fuels",62.41,,,12.36946,,,2.6987,,
2003M12,"Dec. 2003",IN0001.20,"All groups",64.9,,,14.13999,,,7.71784,,
2003M12,"Dec. 2003",IN0001.01,"All food",64.06,,,8.83452,,,1.24862,,
2003M12,"Dec. 2003",IN0001.02,"Food",59.11,,,0,,,0.52721,,
2003M12,"Dec. 2003",IN0001.03,"Tropical beverages",46.61,,,-0.89305,,,3.94737,,
2003M12,"Dec. 2003",IN0001.04,"Vegetable oilseeds and oils",82.6,,,26.78434,,,1.29998,,
2003M12,"Dec. 2003",IN0001.06,"Agricultural raw materials",82.78,,,15.67915,,,-0.3491,,
2003M12,"Dec. 2003",IN0001.07,"Minerals, ores and metals",45.09,,,23.29779,,,4.64145,,
2003M12,"Dec. 2003",IN0001.08,"Minerals, ores and non-precious metals",55.42,,,23.07351,,,4.48718,,
2003M12,"Dec. 2003",IN0001.09,"Precious metals",36.93,,,23.55303,,,4.82543,,
2003M12,"Dec. 2003",IN0001.10,"Fuels",70.81,,,13.27788,,,10.43356,,
2003M12,"Dec. 2003",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2003M12,"Dec. 2003",IN0001.05,"Tropical beverages and food",56.03,,,-0.17816,,,1.21026,,
2003M12,"Dec. 2003",IN0001.22,"All groups excl. fuels",55.33,,,15.99581,,,2.51992,,
2003M12,"Dec. 2003",IN0001.23,"All groups excl. precious metals",68.66,,,13.52513,,,7.939,,
2003M12,"Dec. 2003",IN0001.24,"All groups excl. precious metals and fuels",63.61,,,14.16009,,,1.92277,,
2004M01,"Jan. 2004",IN0001.20,"All groups",66.76,,,8.87149,,,2.86595,,
2004M01,"Jan. 2004",IN0001.01,"All food",65.94,,,9.82678,,,2.93475,,
2004M01,"Jan. 2004",IN0001.02,"Food",59.84,,,-1.56276,,,1.23499,,
2004M01,"Jan. 2004",IN0001.03,"Tropical beverages",50.2,,,1.55776,,,7.70221,,
2004M01,"Jan. 2004",IN0001.04,"Vegetable oilseeds and oils",85.5,,,32.02594,,,3.5109,,
2004M01,"Jan. 2004",IN0001.06,"Agricultural raw materials",83.75,,,17.47791,,,1.17178,,
2004M01,"Jan. 2004",IN0001.07,"Minerals, ores and metals",47.83,,,24.0083,,,6.07674,,
2004M01,"Jan. 2004",IN0001.08,"Minerals, ores and non-precious metals",60.28,,,28.6385,,,8.7694,,
2004M01,"Jan. 2004",IN0001.09,"Precious metals",37.99,,,18.6446,,,2.8703,,
2004M01,"Jan. 2004",IN0001.10,"Fuels",72.41,,,5.2318,,,2.25957,,
2004M01,"Jan. 2004",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2004M01,"Jan. 2004",IN0001.05,"Tropical beverages and food",57.46,,,-0.91395,,,2.5522,,
2004M01,"Jan. 2004",IN0001.22,"All groups excl. fuels",57.59,,,17.07664,,,4.08458,,
2004M01,"Jan. 2004",IN0001.23,"All groups excl. precious metals",70.62,,,8.2133,,,2.85465,,
2004M01,"Jan. 2004",IN0001.24,"All groups excl. precious metals and fuels",66.42,,,16.69009,,,4.41754,,
2004M02,"Feb. 2004",IN0001.20,"All groups",65.6,,,-3.67107,,,-1.73757,,
2004M02,"Feb. 2004",IN0001.01,"All food",67.42,,,11.27249,,,2.24446,,
2004M02,"Feb. 2004",IN0001.02,"Food",59.91,,,-3.77449,,,0.11698,,
2004M02,"Feb. 2004",IN0001.03,"Tropical beverages",50.52,,,1.95762,,,0.63745,,
2004M02,"Feb. 2004",IN0001.04,"Vegetable oilseeds and oils",90.11,,,40.88493,,,5.39181,,
2004M02,"Feb. 2004",IN0001.06,"Agricultural raw materials",84.03,,,16.35281,,,0.33433,,
2004M02,"Feb. 2004",IN0001.07,"Minerals, ores and metals",48.62,,,24.06226,,,1.65168,,
2004M02,"Feb. 2004",IN0001.08,"Minerals, ores and non-precious metals",62.91,,,31.36354,,,4.36297,,
2004M02,"Feb. 2004",IN0001.09,"Precious metals",37.34,,,15.56794,,,-1.71098,,
2004M02,"Feb. 2004",IN0001.10,"Fuels",69.92,,,-11.90626,,,-3.43875,,
2004M02,"Feb. 2004",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2004M02,"Feb. 2004",IN0001.05,"Tropical beverages and food",57.6,,,-2.58752,,,0.24365,,
2004M02,"Feb. 2004",IN0001.22,"All groups excl. fuels",58.58,,,17.5833,,,1.71905,,
2004M02,"Feb. 2004",IN0001.23,"All groups excl. precious metals",69.39,,,-4.81481,,,-1.74172,,
2004M02,"Feb. 2004",IN0001.24,"All groups excl. precious metals and fuels",68.14,,,18.09359,,,2.58958,,
2004M03,"Mar. 2004",IN0001.20,"All groups",68.65,,,11.35442,,,4.64939,,
2004M03,"Mar. 2004",IN0001.01,"All food",71.07,,,20.97021,,,5.41382,,
2004M03,"Mar. 2004",IN0001.02,"Food",62.45,,,2.79835,,,4.23969,,
2004M03,"Mar. 2004",IN0001.03,"Tropical beverages",49.72,,,9.20272,,,-1.58353,,
2004M03,"Mar. 2004",IN0001.04,"Vegetable oilseeds and oils",98.21,,,56.43517,,,8.98901,,
2004M03,"Mar. 2004",IN0001.06,"Agricultural raw materials",83.45,,,15.03998,,,-0.69023,,
2004M03,"Mar. 2004",IN0001.07,"Minerals, ores and metals",49.54,,,29.71982,,,1.89223,,
2004M03,"Mar. 2004",IN0001.08,"Minerals, ores and non-precious metals",64.03,,,34.74327,,,1.78032,,
2004M03,"Mar. 2004",IN0001.09,"Precious metals",38.09,,,23.58858,,,2.00857,,
2004M03,"Mar. 2004",IN0001.10,"Fuels",73.8,,,5.92795,,,5.5492,,
2004M03,"Mar. 2004",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2004M03,"Mar. 2004",IN0001.05,"Tropical beverages and food",59.31,,,4.05263,,,2.96875,,
2004M03,"Mar. 2004",IN0001.22,"All groups excl. fuels",60.3,,,23.94656,,,2.93616,,
2004M03,"Mar. 2004",IN0001.23,"All groups excl. precious metals",72.75,,,10.57912,,,4.8422,,
2004M03,"Mar. 2004",IN0001.24,"All groups excl. precious metals and fuels",70.3,,,24.00776,,,3.16994,,
2004M04,"Apr. 2004",IN0001.20,"All groups",69.4,,,23.75178,,,1.0925,,
2004M04,"Apr. 2004",IN0001.01,"All food",68.81,,,15.33691,,,-3.17996,,
