country,Year,Production_Volume
Zimbabwe,1985,0.08
Zimbabwe,1986,0.11
Zimbabwe,1987,0.13
Zimbabwe,1988,0.14
Zimbabwe,1989,0.14
Zimbabwe,1990,0.15
Zimbabwe,1991,0.15
Zimbabwe,1992,0.15
Zimbabwe,1993,0.14
Zimbabwe,1994,0.15
Zimbabwe,1995,0.15
Zimbabwe,1996,0.14
Zimbabwe,1997,0.14
Zimbabwe,1998,0.15
Zimbabwe,1999,0.13
Zimbabwe,2000,0.12
Zimbabwe,2001,0.12
Zimbabwe,2002,0.11
Zimbabwe,2003,0.08
Zimbabwe,2004,0.1
Zimbabwe,2005,0.09
Zimbabwe,2006,0.06
Zimbabwe,2007,0.06
Zimbabwe,2008,0.04
Zimbabwe,2009,0.05
Zimbabwe,2010,0.07
Zimbabwe,2011,0.07
Zimbabwe,2012,0.04
Zimbabwe,2013,0.08
Zimbabwe,2014,0.16
Zimbabwe,2015,0.12
Zimbabwe,2016,0.07
Zimbabwe,2017,0.08
Zimbabwe,2018,0.09
Zimbabwe,2019,0.07
Zimbabwe,2020,0.07
Zimbabwe,2021,0.09
Zimbabwe,2022,0.11
Greece,1981,0.15
Greece,1982,0.15
Greece,1983,0.17
Greece,1984,0.18
Greece,1985,0.2
Greece,1986,0.21
Greece,1987,0.25
Greece,1988,0.26
Greece,1989,0.3
Greece,1990,0.3
Greece,1991,0.29
Greece,1992,0.29
Greece,1993,0.3
Greece,1994,0.31
Greece,1995,0.31
Greece,1996,0.3
Greece,1997,0.32
Greece,1998,0.34
Greece,1999,0.34
Greece,2000,0.34
Greece,2001,0.35
Greece,2002,0.36
Greece,2003,0.34
Greece,2004,0.36
Greece,2005,0.36
Greece,2006,0.34
Greece,2007,0.35
Greece,2008,0.34
Greece,2009,0.34
Greece,2010,0.31
Greece,2011,0.31
Greece,2012,0.34
Greece,2013,0.28
Greece,2014,0.27
Greece,2015,0.24
Greece,2016,0.17
Greece,2017,0.19
Greece,2018,0.18
Greece,2019,0.13
Greece,2020,0.07
Greece,2021,0.06
Greece,2022,0.07
New Zealand,1981,0.05
New Zealand,1982,0.05
New Zealand,1983,0.06
New Zealand,1984,0.06
New Zealand,1985,0.06
New Zealand,1986,0.06
New Zealand,1987,0.05
New Zealand,1988,0.06
New Zealand,1989,0.07
New Zealand,1990,0.06
New Zealand,1991,0.07
New Zealand,1992,0.07
New Zealand,1993,0.08
New Zealand,1994,0.08
New Zealand,1995,0.1
New Zealand,1996,0.1
New Zealand,1997,0.09
New Zealand,1998,0.08
New Zealand,1999,0.09
New Zealand,2000,0.09
New Zealand,2001,0.1
New Zealand,2002,0.12
New Zealand,2003,0.14
New Zealand,2004,0.14
New Zealand,2005,0.14
New Zealand,2006,0.15
New Zealand,2007,0.12
New Zealand,2008,0.13
New Zealand,2009,0.12
New Zealand,2010,0.14
New Zealand,2011,0.13
New Zealand,2012,0.13
New Zealand,2013,0.12
New Zealand,2014,0.1
New Zealand,2015,0.09
New Zealand,2016,0.07
New Zealand,2017,0.07
New Zealand,2018,0.08
New Zealand,2019,0.07
New Zealand,2020,0.07
New Zealand,2021,0.07
New Zealand,2022,0.07
Uzbekistan,1981,NA
Uzbekistan,1982,NA
Uzbekistan,1983,NA
Uzbekistan,1984,NA
Uzbekistan,1985,0.06
Uzbekistan,1986,0.07
Uzbekistan,1987,0.06
Uzbekistan,1988,0.06
Uzbekistan,1989,0.07
Uzbekistan,1990,0.08
Uzbekistan,1991,0.07
Uzbekistan,1992,0.06
Uzbekistan,1993,0.04
Uzbekistan,1994,0.05
Uzbekistan,1995,0.04
Uzbekistan,1996,0.03
Uzbekistan,1997,0.03
Uzbekistan,1998,0.03
Uzbekistan,1999,0.03
Uzbekistan,2000,0.03
Uzbekistan,2001,0.03
Uzbekistan,2002,0.03
Uzbekistan,2003,0.02
Uzbekistan,2004,0.03
Uzbekistan,2005,0.04
Uzbekistan,2006,0.04
Uzbekistan,2007,0.04
Uzbekistan,2008,0.04
Uzbekistan,2009,0.04
Uzbekistan,2010,0.04
Uzbekistan,2011,0.05
Uzbekistan,2012,0.04
Uzbekistan,2013,0.05
Uzbekistan,2014,0.05
Uzbekistan,2015,0.04
Uzbekistan,2016,0.05
Uzbekistan,2017,0.05
Uzbekistan,2018,0.05
Uzbekistan,2019,0.05
Uzbekistan,2020,0.05
Uzbekistan,2021,0.06
Uzbekistan,2022,0.06
Hungary,1981,0.3
Hungary,1982,0.3
Hungary,1983,0.29
Hungary,1984,0.28
Hungary,1985,0.27
Hungary,1986,0.26
Hungary,1987,0.26
Hungary,1988,0.24
Hungary,1989,0.23
Hungary,1990,0.21
Hungary,1991,0.2
Hungary,1992,0.18
Hungary,1993,0.16
Hungary,1994,0.15
Hungary,1995,0.15
Hungary,1996,0.16
Hungary,1997,0.17
Hungary,1998,0.15
Hungary,1999,0.14
Hungary,2000,0.14
Hungary,2001,0.13
Hungary,2002,0.12
Hungary,2003,0.13
Hungary,2004,0.1
Hungary,2005,0.07
Hungary,2006,0.07
Hungary,2007,0.07
Hungary,2008,0.07
Hungary,2009,0.07
Hungary,2010,0.07
Hungary,2011,0.07
Hungary,2012,0.07
Hungary,2013,0.07
Hungary,2014,0.07
Hungary,2015,0.06
Hungary,2016,0.06
Hungary,2017,0.05
Hungary,2018,0.05
Hungary,2019,0.04
Hungary,2020,0.04
Hungary,2021,0.03
Hungary,2022,0.03
United Kingdom,1981,3.27
United Kingdom,1982,3.18
United Kingdom,1983,3.04
United Kingdom,1984,1.29
United Kingdom,1985,2.37
United Kingdom,1986,2.75
United Kingdom,1987,2.65
United Kingdom,1988,2.65
United Kingdom,1989,2.55
United Kingdom,1990,2.36
United Kingdom,1991,2.41
United Kingdom,1992,2.16
United Kingdom,1993,1.74
United Kingdom,1994,1.24
United Kingdom,1995,1.37
United Kingdom,1996,1.3
United Kingdom,1997,1.27
United Kingdom,1998,1.08
United Kingdom,1999,0.97
United Kingdom,2000,0.82
United Kingdom,2001,0.84
United Kingdom,2002,0.79
United Kingdom,2003,0.74
United Kingdom,2004,0.62
United Kingdom,2005,0.51
United Kingdom,2006,0.45
United Kingdom,2007,0.43
United Kingdom,2008,0.45
United Kingdom,2009,0.44
United Kingdom,2010,0.45
United Kingdom,2011,0.46
United Kingdom,2012,0.42
United Kingdom,2013,0.32
United Kingdom,2014,0.29
United Kingdom,2015,0.21
United Kingdom,2016,0.11
United Kingdom,2017,0.08
United Kingdom,2018,0.08
United Kingdom,2019,0.07
United Kingdom,2020,0.05
United Kingdom,2021,0.03
United Kingdom,2022,0.02
Japan,1981,0.41
Japan,1982,0.41
Japan,1983,0.4
Japan,1984,0.39
Japan,1985,0.38
Japan,1986,0.38
Japan,1987,0.31
Japan,1988,0.26
Japan,1989,0.24
Japan,1990,0.19
Japan,1991,0.19
Japan,1992,0.18
Japan,1993,0.17
Japan,1994,0.16
Japan,1995,0.15
Japan,1996,0.15
Japan,1997,0.1
Japan,1998,0.09
Japan,1999,0.09
Japan,2000,0.07
Japan,2001,0.07
Japan,2002,0.03
Japan,2003,0.03
Japan,2004,0.03
Japan,2005,0.02
Japan,2006,0.03
Japan,2007,0.03
Japan,2008,0.03
Japan,2009,0.03
Japan,2010,0.02
Japan,2011,0.03
Japan,2012,0.03
Japan,2013,0.03
Japan,2014,0.03
Japan,2015,0.03
Japan,2016,0.03
Japan,2017,0.03
Japan,2018,0.02
Japan,2019,0.02
Japan,2020,0.02
Japan,2021,0.02
Japan,2022,0.02
South Korea,1981,0.37
South Korea,1982,0.37
South Korea,1983,0.37
South Korea,1984,0.39
South Korea,1985,0.42
South Korea,1986,0.45
South Korea,1987,0.45
South Korea,1988,0.45
South Korea,1989,0.38
South Korea,1990,0.32
South Korea,1991,0.28
South Korea,1992,0.23
South Korea,1993,0.18
South Korea,1994,0.14
South Korea,1995,0.11
South Korea,1996,0.09
South Korea,1997,0.09
South Korea,1998,0.08
South Korea,1999,0.08
South Korea,2000,0.08
South Korea,2001,0.07
South Korea,2002,0.06
South Korea,2003,0.06
South Korea,2004,0.06
South Korea,2005,0.05
South Korea,2006,0.05
South Korea,2007,0.06
South Korea,2008,0.05
South Korea,2009,0.05
South Korea,2010,0.04
South Korea,2011,0.04
South Korea,2012,0.04
South Korea,2013,0.03
South Korea,2014,0.03
South Korea,2015,0.03
South Korea,2016,0.03
South Korea,2017,0.03
South Korea,2018,0.02
South Korea,2019,0.02
South Korea,2020,0.02
South Korea,2021,0.02
South Korea,2022,0.02
